kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
11,32,4,1,8.01086e-05,8.01086e-05,1124864,14.0417,11,11,1,1,1,1,"s3D_000_P100_M100_stride3D_x;s3D_000_0P10_0M10_stride3D_y;s3D_000_00P1_00M1_stride3D_z;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;s3D_000_P100_M100_stride3D_x;s3D_000_0P10_0M10_stride3D_y;s3D_000_00P1_00M1_stride3D_z",1024
12,32,4,1,3.71933e-05,3.71933e-05,1000000,26.8866,4,4,0,0,0,0,"0,0,0;0,0,0;0,0,0;0,0,0",1024
13,32,4,1,2.19345e-05,2.19345e-05,10816,0.493104,8,7,3,0,3,0,"0,0,0:0,3,0;0,0,0:0,3,0;0,0,0:0,3,0;0,0,0:0,3,0;0,0,0:0,3,0;0,0,0:0,3,0;0,0,0:0,3,0;none",1024
14,32,4,1,1.78814e-05,1.78814e-05,10816,0.604875,8,7,1,0,1,0,"0,0,0:0,1,0;0,0,0:0,1,0;0,0,0:0,1,0;0,0,0:0,1,0;0,0,0:0,1,0;0,0,0:0,1,0;0,0,0:0,1,0;none",1024
15,32,4,1,1.69277e-05,1.69277e-05,10816,0.638952,8,7,3,0,3,0,"0,0,0:0,-3,0;0,0,0:0,-3,0;0,0,0:0,-3,0;0,0,0:0,-3,0;0,0,0:0,-3,0;0,0,0:0,-3,0;0,0,0:0,-3,0;none",1024
16,32,4,1,1.78814e-05,1.78814e-05,10816,0.604875,8,7,1,0,1,0,"0,0,0:0,-1,0;0,0,0:0,-1,0;0,0,0:0,-1,0;0,0,0:0,-1,0;0,0,0:0,-1,0;0,0,0:0,-1,0;0,0,0:0,-1,0;none",1024
17,32,4,1,2.59876e-05,2.59876e-05,10816,0.416198,8,7,3,3,0,0,"0,0,0:3,0,0;0,0,0:3,0,0;0,0,0:3,0,0;0,0,0:3,0,0;0,0,0:3,0,0;0,0,0:3,0,0;0,0,0:3,0,0;none",1024
18,32,4,1,2.19345e-05,2.19345e-05,10816,0.493104,8,7,1,1,0,0,"0,0,0:1,0,0;0,0,0:1,0,0;0,0,0:1,0,0;0,0,0:1,0,0;0,0,0:1,0,0;0,0,0:1,0,0;0,0,0:1,0,0;none",1024
19,32,4,1,2.5034e-05,2.5034e-05,10816,0.432053,8,7,3,3,0,0,"0,0,0:-3,0,0;0,0,0:-3,0,0;0,0,0:-3,0,0;0,0,0:-3,0,0;0,0,0:-3,0,0;0,0,0:-3,0,0;0,0,0:-3,0,0;none",1024
20,32,4,1,2.09808e-05,2.09808e-05,10816,0.515518,8,7,1,1,0,0,"0,0,0:-1,0,0;0,0,0:-1,0,0;0,0,0:-1,0,0;0,0,0:-1,0,0;0,0,0:-1,0,0;0,0,0:-1,0,0;0,0,0:-1,0,0;none",1024
21,32,4,1,1.78814e-05,1.78814e-05,10816,0.604875,8,7,3,0,0,3,"0,0,0:0,0,3;0,0,0:0,0,3;0,0,0:0,0,3;0,0,0:0,0,3;0,0,0:0,0,3;0,0,0:0,0,3;0,0,0:0,0,3;none",1024
22,32,4,1,1.69277e-05,1.69277e-05,10816,0.638952,8,7,1,0,0,1,"0,0,0:0,0,1;0,0,0:0,0,1;0,0,0:0,0,1;0,0,0:0,0,1;0,0,0:0,0,1;0,0,0:0,0,1;0,0,0:0,0,1;none",1024
23,32,4,1,1.62125e-05,1.62125e-05,10816,0.667141,8,7,3,0,0,3,"0,0,0:0,0,-3;0,0,0:0,0,-3;0,0,0:0,0,-3;0,0,0:0,0,-3;0,0,0:0,0,-3;0,0,0:0,0,-3;0,0,0:0,0,-3;none",1024
24,32,4,1,1.5974e-05,1.5974e-05,10816,0.677098,8,7,1,0,0,1,"0,0,0:0,0,-1;0,0,0:0,0,-1;0,0,0:0,0,-1;0,0,0:0,0,-1;0,0,0:0,0,-1;0,0,0:0,0,-1;0,0,0:0,0,-1;none",1024
25,32,4,1,1.38283e-05,1.38283e-05,11025,0.797279,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
26,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
